----  TOTAL
07--  AGRICULTURAL SERVICES, FORESTRY, AND FISHING
0700  Agricultural services
0710  Soil preparation services
0720  Crop services
0740  Veterinary services
0750  Animal services, except veterinary
0760  Farm labor and management services
0761  Farm labor contractors
0762  Farm management services
0780  Landscape and horticultural services
0800  Forestry
0900  Fishing, hunting, and trapping
098\  Administrative and auxiliary
10--  MINING
1000  Metal mining
1010  Iron ores
1020  Copper ores
1030  Lead and zinc ores
1040  Gold and silver ores
1041  Gold ores
1044  Silver ores
1060  Ferroalloy ores, except vanadium
1080  Metal mining services
1090  Miscellaneous metal ores
1094  Uranium-radium-vanadium ores
1099  Metal ores, n.e.c.
1200  Coal mining
1220  Bituminous coal and lignite mining
1221  Bituminous coal and lignite surface
1222  Bituminous coal underground
1230  Anthracite mining
1240  Coal mining services
1300  Oil and gas extraction
1310  Crude petroleum and natural gas
1320  Natural gas liquids
1380  Oil and gas field services
1381  Drilling oil and gas wells
1382  Oil and gas exploration services
1389  Oil and gas field services, n.e.c.
1400  Nonmetallic minerals, except fuels
1410  Dimension stone
1420  Crushed and broken stone
1422  Crushed and broken limestone
1423  Crushed and broken granite
1429  Crushed and broken stone, n.e.c.
1440  Sand and gravel
1442  Construction sand and gravel
1446  Industrial sand
1450  Clay, ceramic, and refractory minerals
1455  Kaolin and ball clay
1459  Clay and related minerals, n.e.c.
1470  Chemical and fertilizer minerals
1474  Potash, soda, and borate minerals
1475  Phosphate rock
1479  Chemical and fertilizer mining, n.e.c.
1480  Nonmetallic minerals services
1490  Miscellaneous nonmetallic minerals
149\  Administrative and auxiliary
15--  CONSTRUCTION
1500  General contractors and operative builders
1510  General building contractors
1530  Operative builders
1600  Heavy construction, except building
1610  Highway and street construction
1620  Heavy construction, except highway
1700  Special trade contractors
1710  Plumbing, heating, air-conditioning
1720  Painting and paper hanging
1730  Electrical work
1740  Masonry, stonework, and plastering
1741  Masonry and other stonework
1742  Plastering, drywall, and insulation
1743  Terrazzo, tile, marble, mosaic work
1750  Carpentry and floor work
1751  Carpentry work
1752  Floor laying and floor work, n.e.c.
1760  Roofing, siding, and sheet metal work
1770  Concrete work
1780  Water well drilling
1790  Misc. special trade contractors
1791  Structural steel erection
1793  Glass and glazing work
1794  Excavation work
1795  Wrecking and demolition work
1796  Installing building equipment, n.e.c.
1799  Special trade contractors, n.e.c.
179\  Administrative and auxiliary
20--  MANUFACTURING
2000  Food and kindred products
2010  Meat products
2011  Meat packing plants
2013  Sausages and other prepared meats
2015  Poultry slaughtering and processing
2020  Dairy products
2021  Creamery butter
2022  Cheese, natural and processed
2023  Dry, condensed, evaporated  products
2024  Ice cream and frozen desserts
2026  Fluid milk
2030  Preserved fruits and vegetables
2032  Canned specialties
2033  Canned fruits and vegetables
2034  Dehydrated fruits, vegetables, soups
2035  Pickles, sauces, and salad dressings
2037  Frozen fruits and vegetables
2038  Frozen specialties, n.e.c.
2040  Grain mill products
2041  Flour and other grain mill products
2043  Cereal breakfast foods
2044  Rice milling
2045  Prepared flour mixes and doughs
2046  Wet corn milling
2047  Dog and cat food
2048  Prepared feeds, n.e.c.
2050  Bakery products
2051  Bread, cake, and related products
2052  Cookies and crackers
2053  Frozen bakery products, except bread
2060  Sugar and confectionery products
2061  Raw cane sugar
2062  Cane sugar refining
2063  Beet sugar
2064  Candy and other confectionery products
2066  Chocolate and cocoa products
2067  Chewing gum
2068  Salted and roasted nuts and seeds
2070  Fats and oils
2074  Cottonseed oil mills
2075  Soybean oil mills
2076  Vegetable oil mills, n.e.c.
2077  Animal and marine fats and oils
2079  Edible fats and oils, n.e.c.
2080  Beverages
2082  Malt beverages
2083  Malt
2084  Wines, brandy, and brandy spirits
2085  Distilled and blended liquors
2086  Bottled and canned soft drinks
2087  Flavoring extracts and syrups, n.e.c.
2090  Misc. food and kindred products
2091  Canned and cured fish and seafoods
2092  Fresh or frozen prepared fish
2095  Roasted coffee
2096  Potato chips and similar snacks
2097  Manufactured ice
2098  Macaroni and spaghetti
2099  Food preparations, n.e.c.
2100  Tobacco products
2110  Cigarettes
2120  Cigars
2130  Chewing and smoking tobacco
2140  Tobacco stemming and redrying
2200  Textile mill products
2210  Broadwoven fabric mills, cotton
2220  Broadwoven fabric mills, manmade
2230  Broadwoven fabric mills, wool
2240  Narrow fabric mills
2250  Knitting mills
2251  Women's hosiery, except socks
2252  Hosiery, n.e.c.
2253  Knit outerwear mills
2254  Knit underwear mills
2257  Weft knit fabric mills
2258  Lace and warp knit fabric mills
2259  Knitting mills, n.e.c.
2260  Textile finishing, except wool
2261  Finishing plants, cotton
2262  Finishing plants, manmade
2269  Finishing plants, n.e.c.
2270  Carpets and rugs
2280  Yarn and thread mills
2281  Yarn spinning mills
2282  Throwing and winding mills
2284  Thread mills
2290  Miscellaneous textile goods
2295  Coated fabrics, not rubberized
2296  Tire cord and fabrics
2297  Nonwoven fabrics
2298  Cordage and twine
2299  Textile goods, n.e.c.
2300  Apparel and other textile products
2310  Men's and boys' suits and coats
2320  Men's and boys' furnishings
2321  Men's and boys' shirts
2322  Men's and boys' underwear and nightwear
2323  Men's and boys' neckwear
2325  Men's and boys' trousers and slacks
2326  Men's and boys' work clothing
2329  Men's and boys' clothing, n.e.c.
2330  Women's and misses' outerwear
2331  Women's and misses' blouses and shirts
2335  Women's, junior's, and misses' dresses
2337  Women's and misses' suits and coats
2339  Women's and misses' outerwear, n.e.c.
2340  Women's and children's undergarments
